,Actor Name,Sentiment
205,Rajendra Kumar,Happy
206,Rajendranath Zutshi,Happy
207,Rajesh Vivek,Sad
208,Rajinikanth,No face found
209,Rajit Kapur,Neutral
210,Rajkummar Rao,Neutral
211,Rajneesh Duggal,Neutral
212,Rajpal Yadav,Happy
213,Raju Kher,Neutral
214,Rakesh Bapat,Happy
215,Rakesh Bedi,Neutral
216,Rakesh Roshan,Neutral
217,Ram Charan,Surprise
218,Ram Kapoor,Neutral
219,Ramesh Deo,Neutral
220,Rana Daggubati,Sad
221,Ranbir Kapoor,Happy
222,Randeep Hooda,Neutral
223,Randhir Kapoor,Neutral
224,Ranjeet,Happy
225,Ranveer Singh,Neutral
226,Ranvir Shorey,Neutral
227,Ravi Dubey,Surprise
228,Raza Murad,Happy
229,Razzak Khan,Neutral
230,Rehman,Sad
231,Rishi Kapoor,Neutral
232,Riteish Deshmukh,Neutral
233,Rohit Roy,Neutral
234,Ronit Roy,Neutral
235,Sadashiv Amrapurkar,Sad
236,Saeed Jaffrey,Happy
237,Saif Ali Khan,Neutral
238,Salim Khan,Surprise
239,Salman Khan,Neutral
240,Sanjay Dutt,Neutral
241,Sanjay Kapoor,Neutral
242,Sanjay Khan,Happy
243,Sanjay Mishra,Surprise
244,Sanjay Suri,Neutral
245,Sanjeev Kumar,Sad
246,Sapru,Neutral
247,Sarath,Neutral
248,Satish Kaushik,Happy
249,Satyen Kappu,No face found
250,Sayaji Shinde,Happy
251,Shah Rukh Khan,No face found
252,Shahid Kapoor,Sad
253,Shakti Kapoor,Surprise
254,Shammi Kapoor,No face found
255,Sharad Kapoor,Happy
256,Sharad Kelkar,Neutral
257,Sharat Saxena,Sad
258,Sharman Joshi,Neutral
259,Shashi Kapoor,Neutral
260,Shiney Ahuja,Happy
261,Shreyas Talpade,Surprise
262,Shriram Lagoo,Angry
263,Siddhant Chaturvedi,Neutral
264,Siddharth Nigam,Neutral
265,Siddharth Ray,Neutral
266,Sidhant Gupta,Sad
267,Sidharth Malhotra,Happy
268,Sidharth Shukla,Angry
269,Sikandar Kher,Happy
270,Sohail Khan,Sad
271,Sonu Sood,Surprise
272,Sooraj Pancholi,Neutral
273,Subrat Dutta,Sad
274,Sudeep,Sad
275,Sudesh Berry,Happy
276,Sudhir Pandey,Happy
277,Sudhir,No face found
278,Sumeet Vyas,Neutral
279,Suniel Shetty,Sad
280,Sunny Deol,Happy
281,Suresh Oberoi,Happy
282,Sushant Singh Rajput,Neutral
283,Sushant Singh,Neutral
284,Tahir Raj Bhasin,Happy
285,Tiger Shroff,Neutral
286,Tiku Talsania,Surprise
287,Tinnu Anand,Happy
288,Tom Alter,Neutral
